"Project ID","2"
"Project","OneApp"
"Exported at","2026-01-30T17:42:57.282Z"

"Case","Description","Folder","Notes","Preconditions","Priority","Steps (Expected)","Steps (Step)","Case ID","Automation","Configurations","Created at","Created by","Estimate","Expected","Forecast","Issues","State","Status (latest)","Status date","Steps (Text)","Tags","Template","Updated at","Updated by"
"Demo Mode - Climate - EV2","","Climate","","<p>User has EV2 selected</p>","Low","<p>The Climate screen is displayed:</p><ul><li>Climate Control card</li><li>Scheduled Card</li><li><code>TURN CLIMATE &amp; ACCESSORIES ON </code>CTA</li><li><code>CREATE DELAYED START</code> CTA</li></ul>
<ul><li>The Current Int. Temp should be 70 <i><strong>(Fahrenheit)</strong></i></li><li>The Current Ext. Temp should be <i><strong>&lt;Dynamics value in Fahrenheit&gt;</strong></i></li><li><p>The Target Temp dial should be set to 75</p><figure class=""image image_resized"" style=""width:49.57%;""><img src=""/attachments/view/8983"" alt=""8983"" /></figure></li></ul>
<p>The user should be able to set the desired temperature in Fahrenheit </p>
<p>The screen should display Off / On settings for:</p><ul><li>Defrost &amp; Deicer</li></ul><p>User should be able to toggle the displayed settings</p>
<p>User should see the climate schedule details screen</p>
<p>User can change details for the climate schedule</p>
<p>User should see a dismissable alert informing them the feature is not available in demo mode</p>
<p>User should see climate schedule toggle on/off after the following toasts are displayed:</p><ul><li>Contacting &lt;year and model&gt; to toggle climate schedule...</li><li>Waking &lt;year and model&gt; to toggle climate schedule...</li><li>Initiating toggle climate schedule on &lt;year and model&gt;...</li><li>Climate schedule toggled</li></ul>
<p>User should see a dismissable alert informing them the feature is not available in demo mode</p>
<p>Use is led to the <strong>Delayed Climate Start</strong> screen and the user can change details for the current schedule</p>
<p>A loading state and icon are displayed and the user is taken to the Climate screen, followed by a toast:</p><ul><li>Delayed Start created</li></ul>","<p>Navigate to <strong>Home</strong> screen &gt; Tap on the <code>Climate</code> card</p>
<p>Validate the Climate dial and Current temp parameters</p>
<p>Increase / decrease the target temperature by interacting with the dial or using the + or - buttons</p>
<p>Validate the climate accessories (defrost and deicer) and interact with them</p>
<p>Tap on a climate schedule</p>
<p>Change details for the climate schedule</p>
<p>Tap Save/Delete Schedule</p>
<p>Tap to toggle climate schedule</p>
<p>Tap on <code>TURN CLIMATE &amp; ACCESSORIES ON </code>CTA</p>
<p>Tap on <code>CREATE DELAYED START</code> CTA</p>
<p>Tap on <code>SAVE DELAYED START</code> cta</p>","1446","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.194Z","Diego Del Aguila","","","44","","Active","Automated","2026-01-07T16:38:42.618Z","","androidautomated-nna,automation-candidate,ev,iosautomated-nna,regression","Case (steps)","2025-12-18T17:01:18.805Z","Mariia Tupchii"
"Demo Mode - Climate - AVK2","","Climate","","<ul><li>User has the <code>Rogue Platinum DEMO</code> selected</li><li>User is at the Home Screen</li></ul>","Medium","<p>User should see the Climate details page<br /> </p>
<ul><li>The Current Temp parameter should be <i><strong>&lt;Dynamics value in Fahrenheit&gt;</strong></i></li><li>The Target Temp dial should be set to 75 <i><strong>(Fahrenheit)</strong></i></li></ul>
<p>The user should be able to set the desired temperature</p>
<p>The screen should display Off / Heat settings for:</p><ul><li>Driver Seat</li><li>Front Passenger Seat</li><li>Rear Left Seat</li><li>Rear Right Seat</li></ul><p>User should be able to toggle the displayed settings</p>
<p>The screen should display Off / On settings for:</p><ul><li>Steering Wheel Heater</li><li>Defrost &amp; Deicer</li></ul><p>User should be able to toggle the displayed settings</p>
<p>The buttons should be displayed at the bottom of the screen, tapping on those should trigger the Demo Mode modal</p>","<p>Tap the Climate card<br /> </p>
<p>Validate the Climate dial and Current temp parameters</p>
<p>Increase / decrease the target temperature by interacting with the dial or using the + or - buttons</p>
<p>Validate the climate accessories (seats) and interact with them</p>
<p>Validate the climate accessories (steering wheel, deicer) and interact with them</p>
<p>Validate the MAKE DEFAULT and Turn Engine / Climate On CTAs and interact with them</p>","16002","Yes","Android, Prod,Prod, iOS","2024-05-01T15:49:47.086Z","Diego Del Aguila","","","191","","Active","Automated","2026-01-07T16:38:42.618Z","","automation-candidate,ccs2,regression,smoke","Case (steps)","2025-12-18T15:57:25.330Z","Gemma Diaz Santa Cruz"
"Demo Mode - My Card Finder","","My Card Finder","","<p>Works for all vehicle types</p>","Low","<p>Verify card subtitle is:</p><ul><li>&lt;Last updated time&gt; - &lt;Vehicle Location address&gt;</li></ul>
<p>Verify user is led to the Map screen, and Verify address + Last updated for vehicle location is the same as displayed on the card subtitle.</p>","<p>Navigate to <strong>Home</strong> screen &gt; scroll down to <code>My Car Finder</code> card</p>
<p>Tap on the <code>My Car Finder</code> card</p>","62171","No","Android, Prod,Prod, iOS","2025-12-17T01:54:50.472Z","Gemma Diaz Santa Cruz","","","44","","Active","Passed","2026-01-16T14:09:53.169Z","","androidautomated-nna,automation-candidate,ev,iosautomated-nna,regression","Case (steps)","2025-12-18T17:01:36.308Z","Mariia Tupchii"
"Demo Mode - Alerts","","Alerts","","<p>User is on the homescreen</p>","Low","<p>User should see the main alerts sheet with examples of each type of alert:<br />Valet Alert<br />Boundary Alert<br />Curfew Alerts<br />Speed Alerts</p>
<p>User should see the 'Demo Mode' alert modal</p>
<p>User should see 'ALERTNAME turned on/off' toast.</p>","<p>Tap the 'Alerts' card</p>
<p>Tap 'CREATE ALERT' CTA</p>
<p>Turn 'On'/'Off' Alerts</p>","1447","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.212Z","Diego Del Aguila","","","48.167","","Active","Automated","2026-01-07T16:38:50.724Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2025-12-18T17:01:47.549Z","Mariia Tupchii"
"Demo Mode - Valet Alert","","Alerts","<p>Automation: for step 2, using <strong>-</strong> / <strong>+</strong> buttons to edit distance rather than slider (it can't be retrieved by appium)</p>","<p>User is on the alerts sheet</p>","Low","<p>1. User should see the edit valet alert sheet<br />2. User should be able to edit the distance<br />3. User should see the demo mode alert modal</p>
<p>User should see popup with:<br /> 'Valet Alert On' header and 'Your Valet is on, Please turn it off in order to edit your distance' body and 'Ok' button </p>","<p>1. Tap on the valet alert<br />2. Interact with the distance slider<br />3. Tap the save alert button</p>
<p>Tap on the valet alert when alert is turned ON</p>","1448","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.229Z","Diego Del Aguila","","","66.333","","Active","Automated","2026-01-07T16:38:50.724Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2025-12-18T17:01:54.534Z","Mariia Tupchii"
"Demo Mode - Boundary Alert - Name","","Alerts","","","Low","<p>1. User should see the edit boundary alert sheet<br />2. User should be able to edit the name<br />3. User should be able to  check/uncheck 'Display Alert in Vehicle' checkbox<br />4. User should see the demo mode alert modal</p>","<p>1. Tap on a Boundary alert<br />2. Interact with the name field<br />3. Tap on 'Display Alert in Vehicle' checkbox<br />4. Tap on the save alert or delete alert button</p>","1449","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.246Z","Diego Del Aguila","","","182.833","","Active","Automated","2026-01-07T16:38:50.724Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2025-12-18T17:02:00.078Z","Mariia Tupchii"
"Boundary Alert - Zone","","Alerts","","<p>User is on the edit boundary alert sheet</p>","Low","<p>1. User should be taken to the boundary map screen (Search for Location)<br />2. User should be able to switch between arrival and departure and edit the distance<br />3. User should see the demo mode alert modal</p>","<p>1. Tap the address card<br />2. Interact with the arrival/departure switcher or custom distance picker<br />3. Tap on the SELECT LOCATION CTA</p>","1450","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.262Z","Diego Del Aguila","","","61","","Active","Automated","2026-01-07T16:38:50.724Z","","regression","Case (steps)","2025-12-18T17:02:08.766Z","Mariia Tupchii"
"Curfew Alert","","Alerts","","","Low","<p>1. User should see the edit curfew alert sheet<br />2. User should be able to edit the name, time &amp; timezone, and days of the week<br />3. User should be able to  check/uncheck 'Display Alert in Vehicle' and 'All day' checkboxes<br />4. User should see the demo mode alert modal</p>","<p>1. Tap on a curfew alert<br />2. Interact with the name, time &amp; timezone pickers, days of the week picker<br />3. Tap on 'Display Alert in Vehicle' and 'All day' checkboxes<br />4. Tap on the save changes or delete alert button</p>","1451","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.279Z","Diego Del Aguila","","","49","","Active","Automated","2026-01-07T16:38:50.724Z","","androidautomated-nna,iosautomated-nna,regression","Case (steps)","2025-12-18T17:02:15.444Z","Mariia Tupchii"
"Speed Alert","","Alerts","<p>Automation: for step 2, using <strong>-</strong> / <strong>+</strong> buttons to edit distance rather than slider (it can't be retrieved by appium)</p>","","Low","<p>1. User should see the edit speed alert sheet<br />2. User should be able to edit the speed<br />3. User should be able to  check/uncheck 'Display Alert in Vehicle' checkbox<br />4. User should see the demo mode alert modal</p>","<p>1. Tap on a speed alert<br />2. Interact with the speed slider<br />3. Tap on 'Display Alert in Vehicle' checkbox<br />4. Tap the save changes or delete alert button</p>","1452","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.295Z","Diego Del Aguila","","","59.6","","Active","Automated","2026-01-07T16:38:50.724Z","","androidautomated-nna,iosautomated-nna,regression","Case (steps)","2025-12-18T17:02:22.016Z","Mariia Tupchii"
"Alerts Info","","Alerts","","","Low","<p>User should be able to open and close the alert info sheets</p>","<p>1. Tap the ""i"" icon for each of the alert types</p>","1453","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.311Z","Diego Del Aguila","","","53.6","","Active","Automated","2026-01-07T16:38:50.724Z","","androidautomated-nna,iosautomated-nna,regression","Case (steps)","2025-12-18T17:02:28.295Z","Mariia Tupchii"
"Create Alert","","Alerts","","","Medium","<p>User should see the demo mode alert modal</p>","<p>1. Tap the create alert button</p>","1455","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.343Z","Diego Del Aguila","","","23.2","","Active","Automated","2026-01-07T16:38:50.724Z","","androidautomated-nna,iosautomated-nna,regression","Case (steps)","2025-12-18T17:02:36.111Z","Mariia Tupchii"
"Demo Mode - Route Planner - EV2","<p>Ariya was replaced by  LEAF in Demo Mode. Stories related to this implementation:</p><ul><li><a href=""https://app.clickup.com/t/86b5dywt0"">https://app.clickup.com/t/86b5dywt0</a> </li></ul><p><strong>Note: Options selected under this screen are not persisted; this is just a simulation of how Plan a route can work</strong></p>","Route Planner","","","Medium","<p>User is led to <strong>Create a route</strong> screen, tapping on any field/element from the <code>Destination</code> card should trigger the Demo Mode modal</p>
<p>User should be able to interact with any of the dropdowns</p>
<p>User should be able to interact with the dropdown</p>
<p>User should be able to interact with the dropdown, and the information icon should take the user to the respective screen</p>
<p>User can interact with the toggles</p>
<p>User can interact with the dropdown</p>
<p><code>Cancel Route</code> modal will be displayed with No and Yes options.</p>
<p>User remains on same screen</p>
<p>User is taken to the Map screen</p>
<p>Loading state icon is shown and the user is taken to the <strong>Estimated Route</strong> screen:</p><ul><li>Origin: Nashville</li><li>Stop: Charging Station</li><li>Destination: Atlanta</li><li>Save Route button</li><li>Add A Stop button</li><li>Validate all elements that the estimated route usually has.</li><li>Scroll up the drawer should display the full information about the trip</li></ul><figure class=""image""><img src=""/attachments/view/8957"" alt=""8957"" /></figure>
<p>User taken back to Create Route screen</p>
<p>User taken to <strong>About Estimated Route</strong> screen</p>
<p>Demo mode modal is shown</p>","<p>Tap <code>Home</code> in the bottom nav &gt; Tap on <code>Route Planner</code> card</p>
<p>Go to <code>Depart at/Arrive by</code> card</p>
<p>Go to <code>Notification</code> card</p>
<p>Go to <code>Plug In Options</code> card</p>
<p>Go to <code>Avoid for All Drives</code> card</p>
<p>Go to <code>Climate Options</code> card</p>
<p>Tap on Cancel Route button</p>
<p>Tap on NO</p>
<p>Tap YES</p>
<p>Tap on <code>Estimate Route</code> cta</p>
<p>Tap on Edit button</p>
<p>Tap on the information icon</p>
<p>User taps on <code>Save Route</code> cta or <strong>Add Stop</strong> option</p>","62170","Yes","Android, Prod,Prod, iOS","2025-12-17T01:19:30.986Z","Gemma Diaz Santa Cruz","","","","86b5dywt0","Active","Automated","2026-01-07T16:38:58.270Z","","automation-candidate,ev,general-sweep,ios,nci,nissan,nna,regression,smoke","Case (steps)","2025-12-18T17:02:45.164Z","Mariia Tupchii"
"Demo Mode - Additional Driver","<p>This TC is to validate the Rogue AVK2 and EV2 Demo Features</p>","Additional Driver","","<ul><li>Vehicle selected is the <code>Rogue AVK2</code> (Rogue Platinum Demo) or LEAF vehicle</li><li>User is already on the Home Page</li></ul>","Sanity","<p>User should be redirected to the Additional Driver Page with:</p><ul><li>Bob Smith (Invite Accepted)</li><li>James Smith (Invite Sent on <code>$date</code>)</li><li>Janeth Smith (Invite Accepted)</li><li><code>ADD A DRIVER</code> CTA</li></ul>
<p>User should be navigated to the Invitation Details, the title of the page should change to the Invitee name (Bob Smith or Janeth Smith)</p>
<ul><li>Your invite for <code>$user</code> was accepted on <code>$date</code></li><li>Selected Vehicle: <code>Rogue Platinum</code></li><li>Additional Driver <code>$user_data</code></li><li>Selected Configurations Section</li><li>DELETE DRIVER CTA Button</li></ul>
<p>User should be navigated to the Configuration Details page, the following sections should be displayed:</p><ul><li>Allow all configurations?</li><li>Remote Vehicle Status</li><li>Navigation Support</li><li>Remote Vehicle Control</li><li>Vehicle Historical Data</li><li>Remote Status Notification</li><li>Additional Driver Notifications</li><li>Additional Driver History</li><li><strong>Footer</strong>: ""* Please upgrade your subscription to enable these options""</li><li><code>SAVE CHANGES</code> CTA</li></ul>
<ul><li>All the aforementioned sections should have a toggle</li><li>All the aforementioned sections, except for <code>Additional Driver Notifications</code> and `Additional Driver History` should have a <code>SHOW LESS</code> button</li></ul>
<p>It should enable / disable all the different sections</p>
<ul><li>The specific section toggle should be enabled or disabled</li><li>If the <code>Allow all configurations?</code> was enabled, it should be disabled if any of the other configurations sections toggles are disabled</li></ul>
<ul><li>The entire section should collapse</li><li>The <code>SHOW LESS</code> button text is updated to <code>SHOW MORE</code></li></ul>
<p>The section should be expanded again</p>
<p>The Demo Mode modal should be displayed</p>","<p>Tap on the Additional Driver card</p>
<p>Tap on any of the Accepted Invitations (Bob Smith or Janet Smith)</p>
<p>Validate the page details</p>
<p>Tap on <code>Selected Configurations</code> section or caret</p>
<p>Validate the toggles and SHOW LESS buttons on all sections</p>
<p>Trigger the <code>Allow all configurations?</code> toggle</p>
<p>Trigger any of the remaining sections toggles</p>
<p>Tap on the <code>SHOW LESS</code> button for any section</p>
<p>Tap on the <code>SHOW MORE</code> button for the collapsed section</p>
<p>Scroll down and tap on the <code>SAVE CHANGES</code> CTA Button</p>","16003","Yes","Android, Prod,Prod, iOS","2024-05-01T20:00:11.216Z","Diego Del Aguila","","","409.333","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate,ccs2,general-sweep,regression,smoke,update-required","Case (steps)","2026-01-13T21:26:40.579Z","Arjun"
"Demo mode - NMAC Account","<p>Applies for all vehicle types</p>","NMAC Account","","","Medium","<p>Verify Demo mode modal is displayed</p>","<p>Navigate to <strong>Home</strong> screen &gt; tap on NMAC Account card</p>","62172","No","","2025-12-17T02:08:59.377Z","Gemma Diaz Santa Cruz","","","","","Active","Passed","2026-01-13T22:56:05.714Z","","","Case (steps)","2025-12-18T17:03:03.443Z","Mariia Tupchii"
"Demo mode - Wallet - EV2","<p>Applies for EV2 vehicle</p>","Wallet","","<p>User has selected LEAF vehicle</p>","Medium","<p>Verify Demo mode modal is displayed</p>","<p>Navigate to <strong>Home</strong> screen &gt; tap on Wallet card</p>","62173","No","","2025-12-17T02:10:38.072Z","Gemma Diaz Santa Cruz","","","","","Active","Passed","2026-01-16T14:10:58.453Z","","","Case (steps)","2025-12-18T17:03:12.888Z","Mariia Tupchii"
